id,symbol,date,open,low,high,close,volume,rsi
1063273,TSLA,2024-05-08 07:30:00,174.98,174.15,176.06,174.28,10218191,29.00526030786827
1063275,TSLA,2024-05-08 06:30:00,174.09,173.88,175.69,174.97,13443182,30.74857296557782
1063277,TSLA,2024-05-08 05:30:00,171.59,170.15,174.31,174.09,26138363,25.619719272892624
1063279,TSLA,2024-05-07 11:30:00,178.15,177.33,178.41,177.61,5244403,34.917589252844195
1063281,TSLA,2024-05-07 10:30:00,178.11,177.4,178.4,178.14,7078322,36.73230019498283
1063283,TSLA,2024-05-07 09:30:00,179.41,177.62,179.58,178.11,7226075,36.551693971963104
1063285,TSLA,2024-05-07 08:30:00,179.71,178.56,179.94,179.4,6974325,40.71664458166881
1063287,TSLA,2024-05-07 07:30:00,179.47,178.9,180.09,179.7,10427919,41.69445685139544
1063289,TSLA,2024-05-07 06:30:00,179.17,178.32,180.62,179.47,10495115,40.717185135337985
1063291,TSLA,2024-05-07 05:30:00,182.4,178.16,183.26,179.18,22180216,39.54128037074501
1063293,TSLA,2024-05-06 11:30:00,183.62,183.51,184.89,184.57,5573245,59.16624915731283
1063295,TSLA,2024-05-06 10:30:00,185.32,183.55,185.38,183.64,6684861,55.75638152151947
1063297,TSLA,2024-05-06 09:30:00,184.52,184.14,185.4,185.34,7954103,64.62223927199165
1063299,TSLA,2024-05-06 08:30:00,182.84,182.6,184.58,184.53,9805223,62.03752628056861
1063301,TSLA,2024-05-06 07:30:00,183.19,182.2,183.74,182.83,9098989,55.93976949448409
1063303,TSLA,2024-05-06 06:30:00,184.48,182.37,185.44,183.21,15825354,57.80777891406294
1063305,TSLA,2024-05-06 05:30:00,183.8,183.33,187.56,184.47,25303701,64.1778811521719
1063307,TSLA,2024-05-03 11:30:00,181.41,180.86,181.66,181.18,5636463,51.61829044125394
1063309,TSLA,2024-05-03 10:30:00,181.48,180.75,182.02,181.42,6844068,52.83636974571014
1063276,TSLA,2024-07-05 08:30:00,245.85,243.94,247.08,246.65,13797407,78.70794988738336
